freq MHz,x_c,x_c_err,y_c,y_c_err,x_r,x_r_err,y_r,y_r_err,angle,angle_err,A_I,A_Q,alpha_1,alpha_2,gamma
3000,0.013060930238182639,3.2761631397774406e-06,0.0024674485227360599,3.2923035340230013e-06,0.041642683098077393,3.9447190389271779e-06,0.045136571059290718,4.1107423715389018e-06,-0.71605643654377138,0.00093611744240249407,0.043182805339554646,0.043665414524580344,-0.75613337326315488,0.89437364582801138,-1.6505070190911661
3010,0.01283302817918669,2.6723262113858681e-06,0.0026806304239210821,2.6818680524766117e-06,0.04161454577482844,3.2623706891293701e-06,0.044344890950565381,3.3030898565717204e-06,-0.58157425280502784,0.00097803302816781563,0.042456996760122184,0.043538984824795825,-0.61109793361726317,1.0180118559385978,-1.6291097895558608
3020,0.012814444089006866,3.2016441351557711e-06,0.0026021886748817113,3.2232159596374265e-06,0.04168021018958621,3.9166132198684456e-06,0.044445191614552904,3.9634138169263857e-06,-0.71047762016768723,0.0011585784311355899,0.042878117539621806,0.043290668917917947,-0.74236407881727584,0.89190119217172636,-1.6342652709890022
3030,0.012694661304832072,2.7804075905308329e-06,0.0029954524610873445,2.8360617205613417e-06,0.041824991500430474,3.4212503737564022e-06,0.043947763270761199,3.4690995002996488e-06,-0.47326917252878442,0.0013189336854056385,0.042274775239670055,0.043515275351873023,-0.49364219517591834,1.1173193214396555,-1.610961516615574
3040,0.01290845092366863,3.3469515568731808e-06,0.002941334056121292,3.3518495548558326e-06,0.044415042808662042,4.1256371281547037e-06,0.041642457972004852,4.0822769751044509e-06,0.8434024720659925,0.0012062365212780254,0.042890398237605237,0.043211156807763225,0.81129246093305574,2.4460703747395831,-1.6347779138065275
3050,0.01271325264192455,2.9106901457333163e-06,0.0032350662626006166,2.9202256514496809e-06,0.042126963300360316,3.5673239866502982e-06,0.043591242493984474,3.5781933166440934e-06,-0.32828213352799218,0.0019886349579959751,0.042281541283758314,0.043441325092003165,-0.33885189073340144,1.2528017520898298,-1.5916536428232313
3060,0.012825557830406675,3.5256725698045245e-06,0.0031622674393782246,3.5269880091440798e-06,0.042297510659512656,4.2658365013302548e-06,0.043923146313304663,4.372456698378547e-06,-0.69533121441050472,0.0021673177119184883,0.042972144098417681,0.043263345012104437,-0.71394123207806559,0.8939498537111854,-1.607891085789251
3070,0.012545945428155486,3.0022835475530657e-06,0.0034371526007188624,3.0108215011879714e-06,0.042134633489160023,3.6822238014901656e-06,0.043345593902648721,3.6791436726233371e-06,-0.24094269305172467,0.0024839072231750093,0.042204516805012776,0.043277553203647928,-0.24759156154599518,1.3363376458943199,-1.5839292074403151
3080,0.01258666932010194,3.3620219951922083e-06,0.0032684718593979922,3.363828069010465e-06,0.042312281984663004,4.0756087357484989e-06,0.043492105517355308,4.1619569405086198e-06,-0.68454066680918302,0.002848523522905543,0.042787908488929917,0.043024264505338902,-0.69804842073911055,0.89968920389628027,-1.5977376246353909
3090,0.012230733409681449,2.8801141278787123e-06,0.0034421627377382025,2.9201153085886085e-06,0.041846536961842914,3.5445275437479184e-06,0.04318553213079708,3.5605743238162331e-06,0.34354995188619952,0.0021645976400855096,0.042000600361427859,0.043035710873629333,0.35366095246788642,1.9044784795403065,-1.55081752707242
